Date,Open,High,Low,Close,"MACD(12,26)",Sig(9)
3/4/2010,86.8033,87.0734,86.4791,86.9507,0.4318,0.1064
3/5/2010,87.5134,88.2622,87.305,88.1927,0.5893,0.203
3/8/2010,88.2005,88.4012,88.0538,88.2082,0.7073,0.3038
3/9/2010,87.9457,88.764,87.8994,88.3549,0.8033,0.4037
3/10/2010,88.3934,88.984,88.3163,88.7485,0.9008,0.5031
3/11/2010,88.5401,89.1422,88.2699,89.1191,0.9965,0.6018
3/12/2010,89.505,89.5205,88.8798,89.1268,1.0607,0.6936
3/15/2010,88.9724,89.2155,88.4629,89.1499,1.1007,0.775
3/16/2010,89.3969,89.945,89.1499,89.8601,1.1762,0.8553
3/17/2010,90.1303,90.6861,89.8677,90.3927,1.2645,0.9371
3/18/2010,90.4005,90.524,89.9836,90.3445,1.3154,1.0128
3/19/2010,90.6567,90.9148,89.5406,89.8894,1.3039,1.071
3/22/2010,89.3778,90.5327,89.3235,90.3719,1.3186,1.1205
3/23/2010,90.5017,91.083,90.2072,91.0055,1.3656,1.1695
3/24/2010,90.6645,91.0182,89.5871,90.5637,1.3516,1.2059
3/25/2010,91.176,91.592,90.3079,90.4164,1.3135,1.2275
3/26/2010,90.587,91.0133,90.0056,90.3637,1.2645,1.2349
3/29/2010,90.8194,91.0985,90.4464,90.9358,1.2573,1.2394
3/30/2010,91.0443,91.3311,90.618,90.9978,1.2423,1.24
